Employee_ID,Question_ID,Selected_Value,Value_Order
1515,102,Customer Satisfaction,5
1515,102,Global Thinking,6
1515,102,Job Security,7
1515,102,Risk-Taking,8
1515,102,Transparency,9
1515,102,Vision,10
1515,103,Adaptability,1
1515,103,Brand Image,2
1515,103,Cost Reduction,3
1515,103,Customer Satisfaction,4
1515,103,Financial Stability,5
1515,103,Leadership Development,6
1515,103,Open Communication,7
1515,103,Profit,8
1515,103,Long-Term Perspective,9
1515,103,Employee Engagement,10
1924,101,Achievement,1
1924,101,Brand Image,2
1924,101,Customer Satisfaction,3
1924,101,Empowerment,4
1924,101,Financial Stability,5
1924,101,Long-Term Perspective,6
1924,101,Recognition,7
1924,101,Sustainability,8
1924,101,Balance (Home/Work),9
1924,101,Well-Being (Physical/ Emotional/ Mental/ Spiritual),10
1924,102,Accountability,1
1924,102,Making A Difference,2
1924,102,Digital Connectivity,3
1924,102,Hierarchy,4
1924,102,Influence,5
1924,102,Profit,6
1924,102,Short-Term Focus,7
1924,102,Cost Reduction,8
1924,102,Continuous Improvement,9
1924,102,Ethics,10
1924,103,Brand Image,1
1924,103,Well-Being (Physical/ Emotional/ Mental/ Spiritual),2
1924,103,Long-Term Perspective,3
1924,103,Professional Growth,4
1924,103,Job Security,5
1924,103,Empowerment,6
1924,103,Financial Stability,7
1924,103,Global Thinking,8
1924,103,Balance (Home/Work),9
1924,103,Making A Difference,10
631,101,Accountability,1
631,101,Adaptability,2
631,101,Coaching/ Mentoring,3
631,101,Ethics,4
631,101,Integrity,5
631,101,Making A Difference,6
631,101,Perseverance,7
631,101,Reliability,8
631,101,Team Work,9
631,101,Trust,10
631,102,Achievement,1
631,102,Bureaucracy,2
631,102,Cost Reduction,3
631,102,Exploitation,4
631,102,Hierarchy,5
631,102,Mission Focus,6
631,102,Profit,7
631,102,Short-Term Focus,8
631,102,Silo Mentality,9
631,102,Blame,10
631,103,Achievement,1
631,103,Brand Image,2
631,103,Cost Reduction,3
631,103,Customer Satisfaction,4
631,103,Fairness,5
631,103,Global Thinking,6
631,103,Inclusiveness,7
631,103,Quality,8
631,103,Perseverance,9
631,103,Team Work,10
2463,101,Integrity,1
2463,101,Trust,2
2463,101,Excellence,3
2463,101,Ambition,4
2463,101,Quality,5
2463,101,Reliability,6
2463,101,Ethics,7
2463,101,Coaching/ Mentoring,8
2463,101,Achievement,9
2463,101,Innovation,10
2463,102,Customer Satisfaction,1
2463,102,Blame,2
2463,102,Cost Reduction,3
2463,102,Continuous Improvement,4
2463,102,Brand Image,5
2463,102,Safety,6
2463,102,Coaching/ Mentoring,7
2463,102,Leadership Development,8
2463,102,Organisational Growth,9
2463,102,Profit,10
2463,103,Recognition,1
2463,103,Equality,2
2463,103,Reliability,3
2463,103,Conflict Resolution,4
2463,103,Transparency,5
2463,103,Balance (Home/Work),6
2463,103,Job Security,7
2463,103,Open Communication,8
2463,103,Professional Growth,9
2463,103,Fairness,10
484,101,Accountability,1
484,101,Commitment,2
484,101,Continuous Learning,3
484,101,Digital Connectivity,4
484,101,Global Thinking,5
484,101,Innovation,6
484,101,Mission Focus,7
484,101,Organisational Growth,8
484,101,Reliability,9
484,101,Perseverance,10
484,102,Balance (Home/Work),1
484,102,Continuous Improvement,2
484,102,Community Involvement,3
484,102,Customer Satisfaction,4
484,102,Employee Engagement,5
484,102,Ethics,6
484,102,Global Thinking,7
484,102,Leadership Development,8
484,102,Long-Term Perspective,9
484,102,Safety,10
484,103,Vision,1
484,103,Safety,2
484,103,Long-Term Perspective,3
484,103,Organisational Growth,4
484,103,Mission Focus,5
484,103,Innovation,6
484,103,Digital Connectivity,7
484,103,Global Thinking,8
484,103,Customer Satisfaction,9
484,103,Community Involvement,10
1408,101,Accountability,1
1408,101,Achievement,2
1408,101,Team Work,3
1408,101,Risk-Taking,4
1408,101,Excellence,5
1408,101,Commitment,6
1408,101,Safety,7
1408,101,Integrity,8
1408,101,Long Hours,9
1408,101,Vision,10
1408,102,Short-Term Focus,1
1408,102,Profit,2
1408,102,Financial Stability,3
1408,102,Cost Reduction,4
1408,102,Sustainability,5
1408,102,Global Thinking,6
1408,102,Customer Satisfaction,7
1408,102,Continuous Learning,8
1408,102,Coaching/ Mentoring,9
1408,102,Power,10
1408,103,Long-Term Perspective,1
1408,103,Ethics,2
1408,103,Efficiency,3
1408,103,Vision,4
1408,103,Well-Being (Physical/ Emotional/ Mental/ Spiritual),5
1408,103,Reliability,6
1408,103,Trust,7
1408,103,Safety,8
1408,103,Empowerment,9
1408,103,Balance (Home/Work),10
1311,101,Innovation,1
1311,101,Sustainability,2
1311,101,Equality,3
1311,101,Ethics,4
1311,101,Integrity,5
1311,101,Mission Focus,6
1311,101,Making A Difference,7
1311,101,Reliability,8
1311,101,Team Work,9
1311,101,Continuous Learning,10
1311,102,Leadership Development,1
1311,102,Accountability,2
1311,102,Commitment,3
1311,102,Empowerment,4
1311,102,Excellence,5
1311,102,Global Thinking,6
1311,102,Inclusiveness,7
1311,102,Making A Difference,8
1311,102,Adaptability,9
1311,102,Information Sharing,10
1311,103,Accountability,1
1311,103,Achievement,2
1311,103,Ambition,3
1311,103,Excellence,4
1311,103,Global Thinking,5
1311,103,Integrity,6
1311,103,Making A Difference,7
1311,103,Professional Growth,8
1311,103,Trust,9
1311,103,Vision,10
2771,101,Accountability,1
2771,101,Brand Image,2
2771,101,Achievement,3
2771,101,Long-Term Perspective,4
2771,101,Recognition,5
2771,101,Vision,6
2771,101,Global Thinking,7
2771,101,Making A Difference,8
2771,101,Team Work,9
2771,101,Integrity,10
2771,102,Silo Mentality,1
2771,102,Long Hours,2
2771,102,Information Hoarding,3
2771,102,Bureaucracy,4
2771,102,Change Averse,5
2771,102,Blame,6
2771,102,Ease With Uncertainty,7
2771,102,Exploitation,8
2771,102,Organisational Growth,9
2771,102,Profit,10
2771,103,Balance (Home/Work),1
2771,103,Sustainability,2
2771,103,Vision,3
2771,103,Accountability,4
2771,103,Brand Image,5
2771,103,Customer Satisfaction,6
2771,103,Empowerment,7
2771,103,Financial Stability,8
2771,103,Long-Term Perspective,9
2771,103,Perseverance,10
286,101,Adaptability,1
286,101,Coaching/ Mentoring,2
286,101,Continuous Learning,3
286,101,Ethics,4
286,101,Global Thinking,5
286,101,Innovation,6
286,101,Trust,7
286,101,Customer Satisfaction,8
286,101,Profit,9
286,101,Making A Difference,10
286,102,Bureaucracy,1
286,102,Job Security,2
286,102,Open Communication,3
286,102,Profit,4
286,102,Global Thinking,5
286,102,Ethics,6
286,102,Integrity,7
286,102,Patience,8
286,102,Customer Satisfaction,9
286,102,Brand Image,10
286,103,Accountability,1
286,103,Adaptability,2
286,103,Ethics,3
286,103,Integrity,4
286,103,Financial Stability,5
286,103,Innovation,6
286,103,Sustainability,7
286,103,Profit,8
286,103,Quality,9
286,103,Long-Term Perspective,10
3527,101,Achievement,1
3527,101,Ambition,2
3527,101,Cost Reduction,3
3527,101,Financial Stability,4
3527,101,Ethics,5
3527,101,Leadership Development,6
3527,101,Making A Difference,7
3527,101,Professional Growth,8
3527,101,Risk-Taking,9
3527,101,Transparency,10
3527,102,Adaptability,1
3527,102,Brand Image,2
3527,102,Equality,3
3527,102,Information Sharing,4
3527,102,Quality,5
3527,102,Organisational Growth,6
3527,102,Transparency,7
3527,102,Reliability,8
3527,102,Open Communication,9
3527,102,Professional Growth,10
3527,103,Coaching/ Mentoring,1
3527,103,Accountability,2
3527,103,Customer Satisfaction,3
3527,103,Cost Reduction,4
3527,103,Sustainability,5
3527,103,Leadership Development,6
3527,103,Innovation,7
3527,103,Profit,8
3527,103,Global Thinking,9
3527,103,Financial Stability,10
3437,101,Customer Satisfaction,1
3437,101,Conflict Resolution,2
3437,101,Continuous Learning,3
3437,101,Ethics,4
3437,101,Fairness,5
3437,101,Transparency,6
3437,101,Organisational Growth,7
3437,101,Team Work,8
3437,101,Financial Stability,9
3437,101,Personal Growth,10
3437,102,Brand Image,1
3437,102,Achievement,2
3437,102,Leadership Development,3
3437,102,Profit,4
3437,102,Short-Term Focus,5
3437,102,Team Work,6
3437,102,Sustainability,7
3437,102,Vision,8
3437,102,Professional Growth,9
3437,102,Empowerment,10
3437,103,Customer Satisfaction,1
3437,103,Reliability,2
3437,103,Professional Growth,3
3437,103,Efficiency,4
3437,103,Continuous Improvement,5
3437,103,Coaching/ Mentoring,6
3437,103,Organisational Growth,7
3437,103,Innovation,8
3437,103,Ethics,9
3437,103,Long-Term Perspective,10
2277,101,Team Work,1
2277,101,Power,2
2277,101,Exploitation,3
2277,101,Organisational Growth,4
2277,101,Quality,5
2277,101,Safety,6
2277,101,Transparency,7
2277,101,Ambition,8
2277,101,Excellence,9
2277,101,Trust,10
2277,102,Safety,1
2277,102,Achievement,2
2277,102,Global Thinking,3
2277,102,Excellence,4
2277,102,Commitment,5
2277,102,Cost Reduction,6
2277,102,Employee Engagement,7
2277,102,Quality,8
2277,102,Vision,9
2277,102,Profit,10
2277,103,Leadership Development,1
2277,103,Quality,2
2277,103,Reliability,3
2277,103,Personal Growth,4
2277,103,Financial Stability,5
2277,103,Job Security,6
2277,103,Excellence,7
2277,103,Ambition,8
2277,103,Achievement,9
2277,103,Cost Reduction,10
1971,101,Accountability,1
1971,101,Commitment,2
1971,101,Customer Satisfaction,3
1971,101,Patience,4
1971,101,Balance (Home/Work),5
1971,101,Cost Reduction,6
1971,101,Long-Term Perspective,7
1971,101,Mission Focus,8
1971,101,Leadership Development,9
1971,101,Team Work,10
1971,102,Adaptability,1
1971,102,Brand Image,2
1971,102,Commitment,3
1971,102,Customer Satisfaction,4
1971,102,Community Involvement,5
1971,102,Continuous Improvement,6
1971,102,Excellence,7
1971,102,Global Thinking,8
1971,102,Innovation,9
1971,102,Safety,10
1971,103,Commitment,1
1971,103,Continuous Improvement,2
1971,103,Continuous Learning,3
1971,103,Cost Reduction,4
1971,103,Global Thinking,5
1971,103,Financial Stability,6
1971,103,Long-Term Perspective,7
1971,103,Customer Satisfaction,8
1971,103,Innovation,9
1971,103,Adaptability,10
1102,101,Sustainability,1
1102,101,Team Work,2
1102,101,Transparency,3
1102,101,Vision,4
1102,101,Well-Being (Physical/ Emotional/ Mental/ Spiritual),5
1102,101,Information Sharing,6
1102,101,Leadership Development,7
1102,101,Quality,8
1102,101,Patience,9
1102,101,Reliability,10
1102,102,Profit,1
1102,102,Quality,2
1102,102,Recognition,3
1102,102,Reliability,4
1102,102,Safety,5
1102,102,Sustainability,6
1102,102,Team Work,7
1102,102,Vision,8
1102,102,Excellence,9
1102,102,Efficiency,10
1102,103,Accountability,1
1102,103,Excellence,2
1102,103,Empowerment,3
1102,103,Leadership Development,4
1102,103,Patience,5
1102,103,Reliability,6
1102,103,Team Work,7
1102,103,Power,8
1102,103,Long-Term Perspective,9
1102,103,Vision,10
1484,101,Accountability,1
1484,101,Adaptability,2
1484,101,Integrity,3
1484,101,Ethics,4
1484,101,Trust,5
1484,101,Team Work,6
1484,101,Sustainability,7
1484,101,Perseverance,8
1484,101,Open Communication,9
1484,101,Patience,10
1484,102,Brand Image,1
1484,102,Customer Satisfaction,2
1484,102,Equality,3
1484,102,Global Thinking,4
1484,102,Innovation,5
1484,102,Long-Term Perspective,6
1484,102,Ethics,7
1484,102,Excellence,8
1484,102,Vision,9
1484,102,Mission Focus,10
1484,103,Open Communication,1
1484,103,Team Work,2
1484,103,Sustainability,3
1484,103,Quality,4
1484,103,Profit,5
1484,103,Balance (Home/Work),6
1484,103,Innovation,7
1484,103,Long-Term Perspective,8
1484,103,Financial Stability,9
1484,103,Information Sharing,10
1969,101,Achievement,1
1969,101,Continuous Improvement,2
1969,101,Efficiency,3
1969,101,Excellence,4
1969,101,Global Thinking,5
1969,101,Leadership Development,6
1969,101,Innovation,7
1969,101,Integrity,8
1969,101,Quality,9
1969,101,Safety,10
1969,102,Achievement,1
1969,102,Ambition,2
1969,102,Coaching/ Mentoring,3
1969,102,Continuous Improvement,4
1969,102,Cost Reduction,5
1969,102,Efficiency,6
1969,102,Customer Satisfaction,7
1969,102,Empowerment,8
1969,102,Excellence,9
1969,102,Innovation,10
1969,103,Achievement,1
1969,103,Ambition,2
1969,103,Commitment,3
1969,103,Safety,4
1969,103,Team Work,5
1969,103,Transparency,6
1969,103,Vision,7
1969,103,Quality,8
1969,103,Profit,9
1969,103,Leadership Development,10
540,101,Accountability,1
540,101,Brand Image,2
540,101,Cost Reduction,3
540,101,Ease With Uncertainty,4
540,101,Global Thinking,5
540,101,Financial Stability,6
540,101,Innovation,7
540,101,Information Sharing,8
540,101,Organisational Growth,9
540,101,Sustainability,10
540,102,Accountability,1
540,102,Achievement,2
540,102,Brand Image,3
540,102,Customer Satisfaction,4
540,102,Empowerment,5
540,102,Ease With Uncertainty,6
540,102,Organisational Growth,7
540,102,Cost Reduction,8
540,102,Continuous Learning,9
540,102,Short-Term Focus,10
540,103,Accountability,1
540,103,Brand Image,2
540,103,Continuous Improvement,3
540,103,Cost Reduction,4
540,103,Financial Stability,5
540,103,Global Thinking,6
540,103,Organisational Growth,7
540,103,Leadership Development,8
540,103,Trust,9
540,103,Transparency,10
3717,101,Fairness,1
3717,101,Cost Reduction,2
3717,101,Achievement,3
3717,101,Long-Term Perspective,4
3717,101,Long Hours,5
3717,101,Financial Stability,6
3717,101,Excellence,7
3717,101,Continuous Learning,8
3717,101,Making A Difference,9
3717,101,Professional Growth,10
3717,102,Vision,1
3717,102,Excellence,2
3717,102,Achievement,3
3717,102,Ambition,4
3717,102,Cost Reduction,5
3717,102,Quality,6
3717,102,Recognition,7
3717,102,Long-Term Perspective,8
3717,102,Empowerment,9
3717,102,Equality,10
3717,103,Quality,1
3717,103,Long-Term Perspective,2
3717,103,Making A Difference,3
3717,103,Mission Focus,4
3717,103,Leadership Development,5
3717,103,Digital Connectivity,6
3717,103,Continuous Learning,7
3717,103,Trust,8
3717,103,Vision,9
3717,103,Global Thinking,10
1978,101,Equality,1
1978,101,Excellence,2
1978,101,Safety,3
1978,101,Transparency,4
1978,101,Team Work,5
1978,101,Personal Growth,6
1978,101,Innovation,7
1978,101,Leadership Development,8
1978,101,Quality,9
1978,101,Continuous Improvement,10
1978,102,Safety,1
1978,102,Professional Growth,2
1978,102,Quality,3
1978,102,Excellence,4
1978,102,Achievement,5
1978,102,Ambition,6
1978,102,Commitment,7
1978,102,Customer Satisfaction,8
1978,102,Team Work,9
1978,102,Vision,10
1978,103,Accountability,1
1978,103,Achievement,2
1978,103,Ambition,3
1978,103,Cost Reduction,4
1978,103,Efficiency,5
1978,103,Quality,6
1978,103,Safety,7
1978,103,Transparency,8
1978,103,Personal Growth,9
1978,103,Customer Satisfaction,10
1625,101,Accountability,1
1625,101,Efficiency,2
1625,101,Organisational Growth,3
1625,101,Mission Focus,4
1625,101,Balance (Home/Work),5
1625,101,Team Work,6
1625,101,Vision,7
1625,101,Continuous Improvement,8
1625,101,Reliability,9
1625,101,Safety,10
1625,102,Achievement,1
1625,102,Balance (Home/Work),2
1625,102,Brand Image,3
1625,102,Cost Reduction,4
1625,102,Empowerment,5
1625,102,Organisational Growth,6
1625,102,Professional Growth,7
1625,102,Quality,8
1625,102,Safety,9
1625,102,Team Work,10
1625,103,Quality,1
1625,103,Team Work,2
1625,103,Brand Image,3
1625,103,Cost Reduction,4
1625,103,Continuous Improvement,5
1625,103,Customer Satisfaction,6
1625,103,Digital Connectivity,7
1625,103,Global Thinking,8
1625,103,Organisational Growth,9
1625,103,Safety,10
1154,101,Continuous Learning,1
1154,101,Efficiency,2
1154,101,Adaptability,3
1154,101,Coaching/ Mentoring,4
1154,101,Influence,5
1154,101,Information Sharing,6
1154,101,Innovation,7
1154,101,Professional Growth,8
1154,101,Safety,9
1154,101,Trust,10
1154,102,Ambition,1
1154,102,Coaching/ Mentoring,2
1154,102,Continuous Improvement,3
1154,102,Continuous Learning,4
1154,102,Cost Reduction,5
1154,102,Customer Satisfaction,6
1154,102,Efficiency,7
1154,102,Excellence,8
1154,102,Global Thinking,9
1154,102,Job Security,10
1154,103,Commitment,1
1154,103,Continuous Improvement,2
1154,103,Cost Reduction,3
1154,103,Employee Engagement,4
1154,103,Equality,5
1154,103,Influence,6
1154,103,Job Security,7
1154,103,Innovation,8
1154,103,Mission Focus,9
1154,103,Professional Growth,10
1331,101,Coaching/ Mentoring,1
1331,101,Profit,2
1331,101,Long Hours,3
1331,101,Vision,4
1331,101,Excellence,5
1331,101,Global Thinking,6
1331,101,Personal Growth,7
1331,101,Ethics,8
1331,101,Organisational Growth,9
1331,101,Cost Reduction,10
1331,102,Bullying,1
1331,102,Cost Reduction,2
1331,102,Efficiency,3
1331,102,Excellence,4
1331,102,Profit,5
1331,102,Power,6
1331,102,Information Hoarding,7
1331,102,Long Hours,8
1331,102,Exploitation,9
1331,102,Continuous Improvement,10
1331,103,Global Thinking,1
1331,103,Personal Growth,2
1331,103,Making A Difference,3
1331,103,Well-Being (Physical/ Emotional/ Mental/ Spiritual),4
1331,103,Vision,5
1331,103,Cost Reduction,6
1331,103,Continuous Learning,7
1331,103,Ambition,8
1331,103,Open Communication,9
1331,103,Profit,10
1078,101,Accountability,1
1078,101,Achievement,2
1078,101,Compassion,3
1078,101,Community Involvement,4
1078,101,Decisiveness,5
1078,101,Conflict Resolution,6
1078,101,Adaptability,7
1078,101,Personal Growth,8
1078,101,Trust,9
1078,101,Leadership Development,10
1078,102,Commitment,1
1078,102,Cost Reduction,2
1078,102,Employee Engagement,3
1078,102,Patience,4
1078,102,Quality,5
1078,102,Profit,6
1078,102,Organisational Growth,7
1078,102,Leadership Development,8
1078,102,Excellence,9
1078,102,Ethics,10
1078,103,Accountability,1
1078,103,Commitment,2
1078,103,Customer Satisfaction,3
1078,103,Ethics,4
1078,103,Financial Stability,5
1078,103,Integrity,6
1078,103,Job Security,7
1078,103,Team Work,8
1078,103,Reliability,9
1078,103,Trust,10
2526,101,Accountability,1
2526,101,Brand Image,2
2526,101,Balance (Home/Work),3
2526,101,Commitment,4
2526,101,Ethics,5
2526,101,Integrity,6
2526,101,Long-Term Perspective,7
2526,101,Open Communication,8
2526,101,Professional Growth,9
2526,101,Transparency,10
2526,102,Bureaucracy,1
2526,102,Cost Reduction,2
2526,102,Financial Stability,3
2526,102,Job Security,4
2526,102,Short-Term Focus,5
2526,102,Ambition,6
2526,102,Efficiency,7
2526,102,Ethics,8
2526,102,Information Hoarding,9
2526,102,Profit,10
2526,103,Adaptability,1
2526,103,Brand Image,2
2526,103,Customer Satisfaction,3
2526,103,Community Involvement,4
2526,103,Ethics,5
2526,103,Empowerment,6
2526,103,Global Thinking,7
2526,103,Information Sharing,8
2526,103,Innovation,9
2526,103,Long-Term Perspective,10
603,101,Achievement,1
603,101,Adaptability,2
603,101,Excellence,3
603,101,Ethics,4
603,101,Integrity,5
603,101,Recognition,6
603,101,Efficiency,7
603,101,Continuous Learning,8
603,101,Team Work,9
603,101,Innovation,10
603,102,Bureaucracy,1
603,102,Change Averse,2
603,102,Exploitation,3
603,102,Blame,4
603,102,Bullying,5
603,102,Short-Term Focus,6
603,102,Hierarchy,7
603,102,Silo Mentality,8
603,102,Influence,9
603,102,Power,10
603,103,Innovation,1
603,103,Efficiency,2
603,103,Continuous Improvement,3
603,103,Empowerment,4
603,103,Long-Term Perspective,5
603,103,Information Sharing,6
603,103,Digital Connectivity,7
603,103,Excellence,8
603,103,Team Work,9
603,103,Leadership Development,10
957,101,Accountability,1
957,101,Adaptability,2
957,101,Commitment,3
957,101,Customer Satisfaction,4
957,101,Ethics,5
957,101,Leadership Development,6
957,101,Mission Focus,7
957,101,Organisational Growth,8
957,101,Team Work,9
957,101,Well-Being (Physical/ Emotional/ Mental/ Spiritual),10
957,102,Accountability,1
957,102,Brand Image,2
957,102,Commitment,3
957,102,Continuous Improvement,4
957,102,Cost Reduction,5
957,102,Customer Satisfaction,6
957,102,Digital Connectivity,7
957,102,Long-Term Perspective,8
957,102,Organisational Growth,9
957,102,Team Work,10
957,103,Accountability,1
957,103,Customer Satisfaction,2
957,103,Global Thinking,3
957,103,Making A Difference,4
957,103,Financial Stability,5
957,103,Mission Focus,6
957,103,Quality,7
957,103,Long-Term Perspective,8
957,103,Sustainability,9
957,103,Team Work,10
2945,101,Trust,1
2945,101,Perseverance,2
2945,101,Patience,3
2945,101,Ethics,4
2945,101,Efficiency,5
2945,101,Equality,6
2945,101,Information Sharing,7
2945,101,Long Hours,8
2945,101,Quality,9
2945,101,Sustainability,10
2945,102,Bullying,1
2945,102,Efficiency,2
2945,102,Equality,3
2945,102,Excellence,4
2945,102,Exploitation,5
2945,102,Profit,6
2945,102,Recognition,7
2945,102,Risk-Taking,8
2945,102,Team Work,9
2945,102,Vision,10
2945,103,Accountability,1
2945,103,Balance (Home/Work),2
2945,103,Coaching/ Mentoring,3
2945,103,Ethics,4
2945,103,Integrity,5
2945,103,Safety,6
2945,103,Risk-Taking,7
2945,103,Sustainability,8
2945,103,Well-Being (Physical/ Emotional/ Mental/ Spiritual),9
2945,103,Team Work,10
3656,101,Team Work,1
3656,101,Brand Image,2
3656,101,Customer Satisfaction,3
3656,101,Continuous Improvement,4
3656,101,Accountability,5
3656,101,Achievement,6
3656,101,Digital Connectivity,7
3656,101,Trust,8
3656,101,Organisational Growth,9
3656,101,Global Thinking,10
3656,102,Accountability,1
3656,102,Brand Image,2
3656,102,Customer Satisfaction,3
3656,102,Empowerment,4
3656,102,Achievement,5
3656,102,Team Work,6
3656,102,Organisational Growth,7
3656,102,Trust,8
3656,102,Digital Connectivity,9
3656,102,Global Thinking,10
3656,103,Profit,1
3656,103,Organisational Growth,2
3656,103,Leadership Development,3
3656,103,Safety,4
3656,103,Risk-Taking,5
3656,103,Empowerment,6
3656,103,Brand Image,7
3656,103,Accountability,8
3656,103,Cost Reduction,9
3656,103,Vision,10
992,101,Adaptability,1
992,101,Coaching/ Mentoring,2
992,101,Continuous Learning,3
992,101,Ethics,4
992,101,Transparency,5
992,101,Risk-Taking,6
992,101,Continuous Improvement,7
992,101,Reliability,8
992,101,Team Work,9
992,101,Well-Being (Physical/ Emotional/ Mental/ Spiritual),10
992,102,Brand Image,1
992,102,Ambition,2
992,102,Achievement,3
992,102,Balance (Home/Work),4
992,102,Digital Connectivity,5
992,102,Empowerment,6
992,102,Cost Reduction,7
992,102,Job Security,8
992,102,Vision,9
992,102,Organisational Growth,10
992,103,Accountability,1
992,103,Integrity,2
992,103,Leadership Development,3
992,103,Long-Term Perspective,4
992,103,Mission Focus,5
992,103,Efficiency,6
992,103,Customer Satisfaction,7
992,103,Risk-Taking,8
992,103,Short-Term Focus,9
992,103,Quality,10
936,101,Accountability,1
936,101,Brand Image,2
936,101,Customer Satisfaction,3
936,101,Information Sharing,4
936,101,Sustainability,5
936,101,Efficiency,6
936,101,Trust,7
936,101,Safety,8
936,101,Professional Growth,9
936,101,Organisational Growth,10
936,102,Team Work,1
936,102,Commitment,2
936,102,Recognition,3
936,102,Vision,4
936,102,Empowerment,5
936,102,Safety,6
936,102,Cost Reduction,7
936,102,Quality,8
936,102,Patience,9
936,102,Innovation,10
936,103,Commitment,1
936,103,Financial Stability,2
936,103,Global Thinking,3
936,103,Job Security,4
936,103,Trust,5
936,103,Risk-Taking,6
936,103,Transparency,7
936,103,Ethics,8
936,103,Decisiveness,9
936,103,Profit,10
2222,101,Accountability,1
2222,101,Customer Satisfaction,2
2222,101,Empowerment,3
2222,101,Financial Stability,4
2222,101,Long-Term Perspective,5
2222,101,Recognition,6
2222,101,Team Work,7
2222,101,Innovation,8
2222,101,Continuous Learning,9
2222,101,Well-Being (Physical/ Emotional/ Mental/ Spiritual),10
2222,102,Long-Term Perspective,1
2222,102,Sustainability,2
2222,102,Reliability,3
2222,102,Integrity,4
2222,102,Ethics,5
2222,102,Cost Reduction,6
2222,102,Continuous Learning,7
2222,102,Continuous Improvement,8
2222,102,Global Thinking,9
2222,102,Innovation,10
2222,103,Brand Image,1
2222,103,Community Involvement,2
2222,103,Customer Satisfaction,3
2222,103,Empowerment,4
2222,103,Making A Difference,5
2222,103,Digital Connectivity,6
2222,103,Continuous Improvement,7
2222,103,Excellence,8
2222,103,Job Security,9
2222,103,Leadership Development,10
1273,101,Accountability,1
1273,101,Quality,2
1273,101,Well-Being (Physical/ Emotional/ Mental/ Spiritual),3
1273,101,Transparency,4
1273,101,Recognition,5
1273,101,Information Sharing,6
1273,101,Customer Satisfaction,7
1273,101,Patience,8
1273,101,Trust,9
1273,101,Safety,10
1273,102,Long-Term Perspective,1
1273,102,Achievement,2
1273,102,Accountability,3
1273,102,Hierarchy,4
1273,102,Cost Reduction,5
1273,102,Continuous Improvement,6
1273,102,Customer Satisfaction,7
1273,102,Profit,8
1273,102,Vision,9
1273,102,Quality,10
1273,103,Long-Term Perspective,1
1273,103,Vision,2
1273,103,Quality,3
1273,103,Customer Satisfaction,4
1273,103,Continuous Improvement,5
1273,103,Brand Image,6
